,home_team,away_team,winner,tie,day,date,time,pts_win,pts_loss,yds_win,turnovers_win,yds_loss,turnovers_loss,home_team_name,home_team_city,away_team_name,away_team_city,AttendanceID,StandingsID,gameID,total,home,away,weekly_attendance,year,wins,loss,points_for,points_against,points_differential,margin_of_victory,strength_of_schedule,simple_rating,offensive_ranking,defensive_ranking,playoffs,sb_winner
48,Cleveland Browns,Tennessee Titans,Tennessee Titans,0,Sun,December 17,1:03PM,24,0,305,1,113,2,Browns,Cleveland,Titans,Tennessee,Browns200016,Browns2000,200016Cleveland Browns,1057139.0,581544.0,475595.0,72318.0,2000,3,13,161,419,-258,-16.1,1.5,-14.6,-9.1,-5.5,No Playoffs,No Superbowl
49,New England Patriots,Tampa Bay Buccaneers,Tampa Bay Buccaneers,0,Sun,September 3,1:02PM,21,16,296,1,278,1,Patriots,New England,Buccaneers,Tampa Bay,Patriots20001,Patriots2000,20001New England Patriots,1030594.0,482336.0,548258.0,60292.0,2000,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl
50,New England Patriots,Minnesota Vikings,Minnesota Vikings,0,Sun,September 17,4:15PM,21,13,315,2,267,1,Patriots,New England,Vikings,Minnesota,Patriots20003,Patriots2000,20003New England Patriots,1030594.0,482336.0,548258.0,60292.0,2000,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl
51,New England Patriots,Indianapolis Colts,New England Patriots,0,Sun,October 8,1:02PM,24,16,301,0,408,3,Patriots,New England,Colts,Indianapolis,Patriots20006,Patriots2000,20006New England Patriots,1030594.0,482336.0,548258.0,60292.0,2000,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl
52,New England Patriots,New York Jets,New York Jets,0,Sun,October 15,4:05PM,34,17,294,1,249,6,Patriots,New England,Jets,New York,Patriots20007,Patriots2000,20007New England Patriots,1030594.0,482336.0,548258.0,60292.0,2000,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl
53,New England Patriots,Buffalo Bills,Buffalo Bills,0,Sun,November 5,1:02PM,16,13,315,1,189,2,Patriots,New England,Bills,Buffalo,Patriots200010,Patriots2000,200010New England Patriots,1030594.0,482336.0,548258.0,60292.0,2000,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl
54,New England Patriots,Cincinnati Bengals,New England Patriots,0,Sun,November 19,1:02PM,16,13,291,1,365,2,Patriots,New England,Bengals,Cincinnati,Patriots200012,Patriots2000,200012New England Patriots,1030594.0,482336.0,548258.0,60292.0,2000,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl
55,New England Patriots,Kansas City Chiefs,New England Patriots,0,Mon,December 4,9:09PM,30,24,368,1,418,3,Patriots,New England,Chiefs,Kansas City,Patriots200014,Patriots2000,200014New England Patriots,1030594.0,482336.0,548258.0,60292.0,2000,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl
56,New England Patriots,Miami Dolphins,Miami Dolphins,0,Sun,December 24,1:02PM,27,24,310,0,348,3,Patriots,New England,Dolphins,Miami,Patriots200017,Patriots2000,200017New England Patriots,1030594.0,482336.0,548258.0,60292.0,2000,5,11,276,338,-62,-3.9,1.4,-2.5,-2.7,0.2,No Playoffs,No Superbowl
57,New Orleans Saints,Detroit Lions,Detroit Lions,0,Sun,September 3,1:03PM,14,10,187,2,252,3,Saints,New Orleans,Lions,Detroit,Saints20001,Saints2000,20001New Orleans Saints,980803.0,504315.0,476488.0,64900.0,2000,10,6,354,305,49,3.1,-2.2,0.9,-1.2,2.1,Playoffs,No Superbowl
